loan_id,loan_type,borrower_segment,sector,bureau_score,loan_amount,tenure_months,interest_rate,emi_to_income_ratio,collateral_coverage_ratio,utilization_ratio,dpd_last_3m,dpd_last_12m_max,num_restructures,existing_npa_flag,sector_stress_index,gst_filing_delay_days,turnover_decline_pct_yoy,vintage_months,news_headline_text,news_sentiment_score,txn_narration_sample,gst_remark_text,true_pd_12m,default_12m
L100010,Retail-Auto,Self-Employed,Agriculture,704.0,50000.0,28,7.52,0.531,1.049,0.64,0,4,0,0,0.304,0.5,-8.61,115,continues routine operations this quarter,0.114,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0553,0
L100011,Agri,Agri-Borrower,Services,885.0,63961.0,87,11.06,0.472,0.898,0.704,0,2,0,0,0.727,1.8,-13.11,65,hit by raw material cost spike and margin pressure,-0.308,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0259,0
L100012,MSME,Business-Owner,Textiles,764.0,1833872.0,206,12.73,0.353,0.515,0.604,0,2,0,0,0.504,9.9,-7.7,178,reports record quarterly revenue growth,0.57,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0199,0
L100013,Corporate,Corporate-Entity,Services,648.0,200491.0,49,9.06,0.534,0.184,0.555,0,3,0,0,0.376,2.4,7.15,45,renews existing supplier agreements,-0.05,GST PAYMENT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.1473,0
L100014,Retail-Auto,Self-Employed,Construction,630.0,88166.0,128,8.36,0.078,1.148,0.781,0,2,0,0,0.403,2.9,21.2,7,upgraded by rating agency on strong fundamentals,0.443,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0257,0
L100015,Retail-Home,Salaried,Hospitality,792.0,353993.0,193,10.25,0.502,0.799,0.997,0,1,0,0,0.496,28.4,0.12,84,continues routine operations this quarter,-0.036,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0142,0
L100016,MSME,Business-Owner,Manufacturing,609.0,577567.0,129,12.74,0.303,0.904,0.028,3,5,0,0,0.198,10.0,18.58,22,secures fresh equity investment round,0.855,CHEQUE RETURN INSUFFICIENT FUNDS,FILED ON TIME - NO DISCREPANCY,0.0967,0
L100017,Retail-Personal,Salaried,Healthcare,643.0,371827.0,234,11.06,0.444,0.741,0.298,2,3,0,0,0.226,7.1,19.27,34,renews existing supplier agreements,-0.242,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1358,0
L100018,Corporate,Corporate-Entity,Manufacturing,658.0,740304.0,206,19.41,0.501,0.613,0.565,1,5,0,0,0.311,3.4,-16.83,167,secures fresh equity investment round,0.624,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0862,0
L100019,MSME,Business-Owner,Agriculture,712.0,637781.0,34,11.09,0.379,1.171,0.887,1,3,0,0,0.383,10.4,20.65,166,hit by raw material cost spike and margin pressure,-0.516,OD LIMIT BREACH,FILED ON TIME - NO DISCREPANCY,0.5996,1
L100020,MSME,Business-Owner,IT/ITES,663.0,602093.0,132,13.75,0.361,1.582,0.747,1,2,0,0,0.286,2.9,8.95,145,sees promoter stake pledge increase sharply,-0.28,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1156,0
L100021,Retail-Home,Salaried,Hospitality,561.0,1949743.0,179,7.15,0.291,0.42,0.346,1,1,0,0,0.361,7.2,2.85,5,renews existing supplier agreements,-0.224,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.2905,1
L100022,Agri,Agri-Borrower,Services,785.0,435566.0,182,13.26,0.604,0.15,0.453,1,4,0,0,0.249,1.5,-0.48,177,continues routine operations this quarter,-0.038,LOAN RESTRUCTURE REQUEST,FILED ON TIME - NO DISCREPANCY,0.2401,1
L100023,Agri,Agri-Borrower,Manufacturing,644.0,421705.0,129,10.11,0.402,0.806,0.738,1,5,0,0,0.546,5.6,-5.54,33,files regular GST returns on schedule,-0.3,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0957,0
L100024,MSME,Business-Owner,Healthcare,862.0,1069918.0,103,11.47,0.383,0.613,0.4,1,5,0,0,0.908,3.9,6.48,179,reports record quarterly revenue growth,0.72,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0353,0
L100025,Retail-Personal,Salaried,Real Estate,707.0,812544.0,83,16.56,0.576,1.373,0.621,4,8,0,0,0.303,0.8,8.68,100,continues routine operations this quarter,-0.006,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0401,0
L100026,Retail-Auto,Self-Employed,Textiles,794.0,163874.0,93,10.38,0.275,1.102,0.38,1,2,0,0,0.752,2.3,0.69,167,hit by raw material cost spike and margin pressure,-0.347,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0787,0
L100027,Retail-Personal,Salaried,Manufacturing,737.0,399782.0,15,7.58,0.313,1.658,0.672,1,5,0,0,0.434,1.2,16.21,76,flags working capital stress in latest filing,-0.748,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0595,0
L100028,Retail-Personal,Salaried,Textiles,798.0,716442.0,207,8.04,0.491,1.331,0.709,0,1,1,0,0.3,9.4,4.4,142,hit by raw material cost spike and margin pressure,-0.627,VENDOR PAYMENT NEFT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.2379,0
L100029,MSME,Business-Owner,Construction,731.0,231999.0,177,12.02,0.616,0.942,0.0,2,8,0,0,0.504,6.0,-3.01,165,continues routine operations this quarter,0.279,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1513,0
L100030,MSME,Business-Owner,Agriculture,701.0,244484.0,77,11.86,0.357,0.959,1.0,2,3,0,0,0.347,0.5,15.62,149,files regular GST returns on schedule,-0.014,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0529,0
L100031,Agri,Agri-Borrower,Manufacturing,778.0,95740.0,42,11.73,0.408,1.057,1.027,6,10,0,0,0.521,2.4,22.43,164,under scrutiny after key client contract termination,-0.55,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.1457,0
L100032,Retail-Home,Salaried,Construction,900.0,50000.0,131,7.64,0.112,0.536,0.041,0,1,0,0,0.0,5.1,-22.35,148,under scrutiny after key client contract termination,-0.424,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0305,0
L100033,Retail-Auto,Self-Employed,Hospitality,656.0,293172.0,205,17.58,0.542,1.074,0.493,1,2,1,0,0.42,0.6,-20.35,9,renews existing supplier agreements,0.246,ECS BOUNCE CHARGES,DELAYED FILING - MISMATCH IN ITC CLAIM,0.1417,0
L100034,Retail-Auto,Self-Employed,Manufacturing,752.0,508904.0,238,15.89,0.188,1.448,0.142,2,6,0,0,0.612,4.8,-15.9,68,upgraded by rating agency on strong fundamentals,0.441,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0142,0
L100035,Retail-Personal,Salaried,Hospitality,680.0,132594.0,72,11.89,0.269,0.647,0.017,0,1,0,0,0.16,7.2,2.28,11,renews existing supplier agreements,-0.05,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0768,0
L100036,Retail-Personal,Salaried,Textiles,726.0,2014052.0,111,6.94,0.378,0.803,0.753,2,6,0,0,0.684,8.4,5.76,3,continues routine operations this quarter,0.166,UTILITY BILL PAYMENT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0494,0
L100037,Retail-Auto,Self-Employed,Textiles,684.0,139893.0,147,16.25,0.253,1.163,1.003,1,5,0,0,0.108,10.3,-2.61,120,reports order book decline for third straight quarter,-0.679,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1171,0
L100038,Retail-Home,Salaried,Hospitality,486.0,1207163.0,147,14.91,0.059,1.5,0.544,6,11,0,0,0.182,4.9,0.22,70,flags working capital stress in latest filing,-0.546,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1196,0
L100039,MSME,Business-Owner,Services,662.0,701192.0,76,11.81,0.165,0.603,0.941,3,10,0,0,0.652,17.3,-19.88,7,renews existing supplier agreements,0.077,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0692,0
L100040,Retail-Auto,Self-Employed,Hospitality,770.0,4847477.0,198,15.1,0.365,0.998,0.385,1,4,0,0,0.318,0.7,-31.98,110,continues routine operations this quarter,-0.109,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0199,0
L100041,Corporate,Corporate-Entity,Services,611.0,801166.0,172,10.02,0.574,0.887,0.188,4,6,0,0,0.233,0.7,-9.96,50,continues routine operations this quarter,-0.12,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0812,0
L100042,MSME,Business-Owner,Construction,763.0,90138.0,201,8.62,0.562,0.79,0.453,3,5,0,1,0.665,2.9,19.08,169,continues routine operations this quarter,-0.148,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.62,0
L100043,Retail-Home,Salaried,Agriculture,697.0,1410992.0,38,11.97,0.407,0.156,0.354,3,5,0,1,0.573,2.8,8.8,54,sees promoter stake pledge increase sharply,-0.457,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.8196,1
L100044,Corporate,Corporate-Entity,IT/ITES,663.0,2862884.0,165,6.84,0.374,0.602,0.657,1,5,0,0,0.199,3.9,-0.43,47,continues routine operations this quarter,0.145,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0588,0
L100045,Corporate,Corporate-Entity,Construction,762.0,62980.0,90,8.17,0.47,0.409,0.822,1,7,1,0,0.358,1.7,4.32,26,continues routine operations this quarter,-0.086,PENALTY CHARGE LATE EMI,FILED ON TIME - NO DISCREPANCY,0.3268,0
L100046,Retail-Auto,Self-Employed,Healthcare,741.0,893625.0,186,13.13,0.549,0.846,0.261,0,6,0,0,0.701,5.0,16.85,4,upgraded by rating agency on strong fundamentals,0.926,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0467,0
L100047,Retail-Home,Salaried,Manufacturing,718.0,1139781.0,128,12.22,0.368,0.719,0.211,0,5,0,0,0.395,0.0,8.36,156,files regular GST returns on schedule,-0.009,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0923,0
L100048,MSME,Business-Owner,IT/ITES,771.0,350070.0,130,7.36,0.373,0.424,0.77,3,7,0,0,0.419,6.2,13.39,110,hit by raw material cost spike and margin pressure,-0.325,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.1239,0
L100049,Retail-Personal,Salaried,IT/ITES,698.0,50000.0,145,10.27,0.381,0.793,0.462,0,7,0,0,0.519,4.9,-0.01,47,files regular GST returns on schedule,-0.016,SALARY CREDIT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0627,1
L100050,Retail-Personal,Salaried,Textiles,532.0,319479.0,62,7.49,0.501,1.646,0.745,5,7,0,0,0.494,7.0,13.15,178,files regular GST returns on schedule,-0.175,LOAN RESTRUCTURE REQUEST,FILED ON TIME - NO DISCREPANCY,0.2954,1
L100051,Retail-Personal,Salaried,IT/ITES,646.0,233474.0,144,10.03,0.145,0.635,0.344,1,4,0,0,0.514,32.1,6.69,177,files regular GST returns on schedule,-0.222,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.3203,0
L100052,Corporate,Corporate-Entity,Healthcare,518.0,2380339.0,212,9.71,0.352,0.745,0.386,11,18,0,0,0.491,4.9,7.69,72,faces liquidity crunch amid delayed receivables,-0.893,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.7789,1
L100053,MSME,Business-Owner,Hospitality,739.0,401334.0,30,14.48,0.41,0.81,0.806,1,4,0,0,0.394,2.3,-12.63,129,sees promoter stake pledge increase sharply,-0.681,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.344,0
L100054,MSME,Business-Owner,Services,761.0,281098.0,50,11.03,0.066,0.609,0.755,1,5,0,0,0.639,12.0,7.96,97,wins large government infrastructure contract,0.314,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.1605,0
L100055,Corporate,Corporate-Entity,Agriculture,765.0,232080.0,19,10.77,0.488,0.269,0.898,0,6,1,0,0.577,16.4,0.2,137,reports record quarterly revenue growth,0.73,VENDOR PAYMENT NEFT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0485,0
L100056,Retail-Auto,Self-Employed,Textiles,724.0,633061.0,122,10.32,0.511,1.624,0.498,0,2,0,0,0.587,0.7,16.85,22,wins large government infrastructure contract,0.691,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0175,1
L100057,MSME,Business-Owner,Construction,767.0,470973.0,66,6.34,0.058,0.168,0.874,0,3,0,0,0.456,12.9,-18.7,12,under scrutiny after key client contract termination,-0.526,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0878,0
L100058,Retail-Personal,Salaried,Hospitality,538.0,185546.0,146,11.2,0.288,0.214,0.661,7,12,0,0,0.42,1.8,17.15,172,renews existing supplier agreements,-0.175,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.4254,0
L100059,Retail-Personal,Salaried,Textiles,670.0,591503.0,20,12.95,0.293,1.2,0.651,1,6,0,0,0.216,0.7,4.82,125,files regular GST returns on schedule,0.118,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0427,0
L100060,MSME,Business-Owner,Textiles,553.0,239670.0,36,12.19,0.217,0.08,0.337,12,14,0,0,0.548,6.9,16.02,127,files regular GST returns on schedule,0.04,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.3904,0
L100061,Retail-Auto,Self-Employed,Trading,648.0,50000.0,62,13.58,0.237,1.208,0.715,0,2,1,0,0.349,0.4,-13.11,38,sees promoter stake pledge increase sharply,-0.411,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.2864,1
L100062,MSME,Business-Owner,Agriculture,825.0,922484.0,161,13.72,0.272,1.244,0.486,0,5,0,0,0.461,4.0,20.73,26,secures fresh equity investment round,0.362,OD LIMIT BREACH,FILED ON TIME - NO DISCREPANCY,0.1773,0
L100063,MSME,Business-Owner,IT/ITES,778.0,831098.0,25,18.09,0.441,0.579,1.015,0,2,0,0,0.55,0.2,17.08,62,renews existing supplier agreements,-0.12,EMI AUTO DEBIT SUCCESS,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0761,0
L100064,MSME,Business-Owner,Agriculture,740.0,551123.0,131,8.11,0.537,0.917,0.55,0,2,1,0,0.458,6.7,-3.45,9,expands operations with new manufacturing unit,0.423,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0543,0
L100065,MSME,Business-Owner,Healthcare,664.0,271926.0,132,12.2,0.433,0.88,0.505,2,5,0,0,0.222,3.0,10.95,11,flags working capital stress in latest filing,-0.296,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.149,0
L100066,MSME,Business-Owner,Trading,591.0,408699.0,84,12.54,0.213,0.578,0.869,7,10,0,0,0.693,1.8,14.5,146,reports order book decline for third straight quarter,-0.29,OD LIMIT BREACH,FILED ON TIME - NO DISCREPANCY,0.6708,1
L100067,Retail-Home,Salaried,Trading,697.0,1089480.0,35,10.54,0.469,0.654,0.571,3,6,0,0,0.301,0.5,-3.68,22,wins large government infrastructure contract,0.953,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0138,0
L100068,Retail-Personal,Salaried,Construction,780.0,220799.0,174,9.6,0.441,0.837,0.337,0,2,0,0,0.4,6.5,15.6,97,files regular GST returns on schedule,0.134,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0182,0
L100069,Retail-Auto,Self-Employed,Construction,717.0,1138942.0,106,13.0,0.05,0.713,0.167,3,6,2,0,0.224,11.9,-0.91,104,continues routine operations this quarter,0.114,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.3529,0
L100070,Retail-Personal,Salaried,Real Estate,537.0,87349.0,148,12.71,0.536,1.13,0.326,6,8,1,0,0.552,5.1,3.21,172,continues routine operations this quarter,0.06,GST PAYMENT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.3039,0
L100071,Retail-Auto,Self-Employed,Real Estate,689.0,532309.0,187,8.34,0.37,0.84,0.093,0,4,1,0,0.193,2.4,19.16,161,secures fresh equity investment round,0.457,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0941,0
L100072,Corporate,Corporate-Entity,Agriculture,508.0,455128.0,14,6.11,0.376,1.081,0.527,6,6,0,0,0.298,5.9,-24.69,18,continues routine operations this quarter,0.114,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0848,0
L100073,Retail-Home,Salaried,Textiles,752.0,1333015.0,188,10.03,0.089,0.745,0.765,0,4,1,0,0.565,4.0,16.31,121,wins large government infrastructure contract,0.514,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0873,0
L100074,Retail-Personal,Salaried,Services,618.0,161003.0,31,9.48,0.592,1.156,0.408,6,10,0,0,0.516,1.1,-10.55,30,continues routine operations this quarter,0.098,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.131,1
L100075,Retail-Home,Salaried,Textiles,570.0,181536.0,140,13.31,0.401,1.254,1.183,4,8,0,0,0.661,9.5,3.4,149,renews existing supplier agreements,-0.01,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.3411,1
L100076,Retail-Home,Salaried,Healthcare,754.0,95421.0,32,8.73,0.466,0.108,0.196,0,2,0,0,0.673,0.3,10.29,68,secures fresh equity investment round,0.498,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.2501,0
L100077,MSME,Business-Owner,Healthcare,730.0,237184.0,19,10.97,0.151,1.051,0.682,0,2,0,0,0.0,2.2,14.46,66,upgraded by rating agency on strong fundamentals,0.734,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0021,0
L100078,MSME,Business-Owner,Hospitality,701.0,585932.0,106,6.38,0.427,0.622,0.659,0,2,0,0,0.237,0.6,-3.17,7,continues routine operations this quarter,-0.183,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.1304,0
L100079,Corporate,Corporate-Entity,Textiles,877.0,61229.0,134,6.85,0.43,0.724,0.444,2,4,0,0,0.573,2.0,-6.66,100,secures fresh equity investment round,0.366,FD RENEWAL,FILED ON TIME - NO DISCREPANCY,0.0123,0
L100080,MSME,Business-Owner,Construction,737.0,271793.0,82,9.19,0.327,1.025,0.511,0,3,0,0,0.718,0.2,5.33,144,faces liquidity crunch amid delayed receivables,-0.658,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.0818,0
L100081,Retail-Auto,Self-Employed,Manufacturing,622.0,866199.0,69,10.75,0.156,0.949,0.966,1,3,0,0,0.222,15.7,21.01,107,wins large government infrastructure contract,0.595,PENALTY CHARGE LATE EMI,FILED ON TIME - NO DISCREPANCY,0.1399,0
L100082,Corporate,Corporate-Entity,IT/ITES,727.0,395076.0,53,9.04,0.341,0.807,0.818,1,2,0,0,0.597,4.7,12.24,97,expands operations with new manufacturing unit,0.514,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0332,0
L100083,Retail-Personal,Salaried,Real Estate,654.0,480569.0,141,11.93,0.207,1.165,0.784,0,2,0,0,0.154,1.0,0.91,65,files regular GST returns on schedule,-0.179,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0375,0
L100084,Retail-Personal,Salaried,Textiles,794.0,84397.0,103,6.4,0.245,0.972,0.316,4,7,0,0,0.49,9.8,19.06,150,continues routine operations this quarter,-0.045,ECS BOUNCE CHARGES,FILED ON TIME - NO DISCREPANCY,0.2548,0
L100085,Retail-Personal,Salaried,Hospitality,705.0,396309.0,219,10.85,0.524,0.597,0.674,1,1,0,0,0.22,1.0,-36.02,155,continues routine operations this quarter,0.01,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.1095,0
L100086,MSME,Business-Owner,Construction,714.0,456596.0,111,10.89,0.363,1.339,0.754,1,2,0,0,0.735,17.0,27.5,43,renews existing supplier agreements,-0.23,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.125,0
L100087,Retail-Auto,Self-Employed,Manufacturing,550.0,369497.0,148,7.16,0.338,1.326,0.766,5,9,0,0,0.464,2.0,-15.27,146,renews existing supplier agreements,0.03,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.2993,0
L100088,Retail-Personal,Salaried,IT/ITES,686.0,523390.0,230,12.19,0.174,0.905,0.201,2,4,0,0,0.263,0.7,12.18,36,continues routine operations this quarter,0.247,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0162,0
L100089,MSME,Business-Owner,Trading,675.0,314885.0,226,6.0,0.343,0.677,0.635,0,3,0,0,0.847,12.2,-4.17,45,files regular GST returns on schedule,-0.054,VENDOR PAYMENT NEFT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.1585,1
L100090,Retail-Personal,Salaried,Manufacturing,588.0,267897.0,125,9.44,0.327,0.591,0.633,5,6,0,0,0.433,5.5,9.53,173,secures fresh equity investment round,0.363,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0976,0
L100091,MSME,Business-Owner,Healthcare,660.0,140963.0,59,13.86,0.203,1.569,0.83,1,5,0,0,0.635,3.1,-6.43,25,renews existing supplier agreements,-0.072,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.1408,0
L100092,Retail-Auto,Self-Employed,Agriculture,719.0,1292266.0,102,6.0,0.513,0.826,0.484,2,3,0,0,0.197,0.5,5.16,90,reports order book decline for third straight quarter,-0.115,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0652,1
L100093,Retail-Auto,Self-Employed,IT/ITES,680.0,114769.0,73,13.51,0.506,0.958,0.262,0,3,0,0,0.587,8.2,17.66,170,under scrutiny after key client contract termination,-1.0,OD LIMIT BREACH,FILED ON TIME - NO DISCREPANCY,0.6076,1
L100094,Retail-Home,Salaried,Healthcare,553.0,526361.0,123,8.0,0.234,1.069,0.313,2,3,0,0,0.314,5.4,9.57,75,files regular GST returns on schedule,-0.1,OD LIMIT BREACH,FILED ON TIME - NO DISCREPANCY,0.5448,1
L100095,MSME,Business-Owner,Construction,655.0,3251142.0,45,9.73,0.409,0.0,0.641,1,2,1,0,0.744,0.9,0.69,139,flags working capital stress in latest filing,-0.452,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.7562,0
L100096,Retail-Auto,Self-Employed,IT/ITES,638.0,1485970.0,103,15.72,0.072,0.534,0.84,1,4,0,0,0.098,2.3,2.15,123,faces liquidity crunch amid delayed receivables,-0.34,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.177,1
L100097,Retail-Personal,Salaried,Textiles,697.0,774754.0,29,9.62,0.398,1.781,0.458,0,3,0,0,0.438,10.5,-4.21,125,continues routine operations this quarter,-0.3,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.0418,0
L100098,Retail-Personal,Salaried,Textiles,688.0,582286.0,233,16.34,0.467,0.0,0.623,2,4,2,0,0.163,9.6,6.43,25,files regular GST returns on schedule,-0.075,OD LIMIT BREACH,FILED ON TIME - NO DISCREPANCY,0.8072,1
L100099,Agri,Agri-Borrower,Healthcare,643.0,384405.0,14,10.58,0.182,0.301,0.038,2,6,0,0,0.115,17.7,-1.88,136,reports order book decline for third straight quarter,-0.181,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.142,0
L100100,Agri,Agri-Borrower,Construction,639.0,164147.0,214,11.25,0.352,0.72,0.017,2,2,0,0,0.327,9.7,6.41,134,flags working capital stress in latest filing,-0.619,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.5351,0
L100101,MSME,Business-Owner,Textiles,686.0,334632.0,223,14.03,0.369,0.503,0.669,3,4,0,0,0.245,6.7,-13.34,55,continues routine operations this quarter,-0.05,MINIMUM BALANCE PENALTY,FILED ON TIME - NO DISCREPANCY,0.1739,0
L100102,Retail-Home,Salaried,Textiles,767.0,832645.0,230,13.13,0.783,0.6,0.665,2,5,1,1,0.751,3.2,-7.51,125,renews existing supplier agreements,0.017,UTILITY BILL PAYMENT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.9295,1
L100103,Agri,Agri-Borrower,Trading,705.0,679211.0,114,11.96,0.737,0.438,0.729,1,6,0,0,0.644,1.8,24.8,179,continues routine operations this quarter,0.134,ECS BOUNCE CHARGES,FILED ON TIME - NO DISCREPANCY,0.5932,0
